,0,1,2,3,4,5,6,7,8,9,10,11,12,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
3,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,1,1,1,1,1,1,1,1,1,1,1
5,1,1,2,1,1,1,1,1,1,1,1,1,1,1
6,1,1,2,1,1,1,1,1,1,1,1,1,1,1
7,1,1,2,1,1,1,1,1,2,1,1,1,1,1
8,1,1,2,1,1,1,1,1,2,1,1,1,1,1
9,1,1,2,1,1,1,1,1,2,1,1,1,2,1
10,1,1,2,1,1,1,1,1,2,1,1,1,2,1
11,1,1,2,1,1,1,1,1,3,1,1,1,2,1
12,1,1,2,1,1,1,1,1,3,1,1,1,2,1
13,1,1,2,1,1,1,1,1,4,1,1,1,2,1
14,1,1,2,1,1,1,1,1,4,1,1,1,2,1
15,1,1,2,1,1,1,1,1,4,1,1,1,2,1
16,1,1,2,2,1,1,1,1,4,1,1,1,2,1
17,1,1,2,3,1,1,1,1,4,1,1,1,2,1
18,1,1,2,3,1,1,1,1,4,1,1,1,2,1
19,1,1,2,4,1,1,1,1,4,1,1,1,2,1
20,1,1,2,4,1,1,1,1,4,1,1,1,2,1
21,1,1,2,4,1,1,2,1,4,1,1,1,2,1
22,1,1,2,4,1,1,2,1,4,1,1,1,2,1
23,1,1,2,4,1,1,3,1,4,1,1,1,2,1
24,1,1,2,4,1,1,3,1,4,1,1,1,2,1
25,1,1,2,4,1,1,3,1,4,1,1,1,2,1
26,1,1,2,4,1,1,3,1,4,1,1,1,2,1
27,1,1,2,4,1,1,4,1,4,1,1,1,2,1
28,1,1,2,4,1,1,4,1,4,1,1,1,2,1
29,1,1,2,4,1,1,4,1,4,1,1,1,2,1
30,1,1,2,4,1,1,4,1,4,1,1,1,3,1
31,1,1,2,4,1,1,4,1,4,1,1,1,3,1
32,1,1,2,4,1,1,4,1,4,1,1,1,3,1
33,1,1,2,4,1,1,4,1,4,1,1,1,3,1
34,1,1,2,4,1,1,4,1,4,1,1,1,4,1
35,1,1,2,4,1,1,5,1,4,1,1,1,4,1
36,1,1,2,4,1,1,5,1,4,1,1,1,4,1
37,1,1,2,4,1,1,6,1,4,1,1,1,4,1
38,1,1,2,4,1,1,6,1,4,1,1,1,4,1
39,1,1,2,4,1,1,7,1,4,1,1,1,4,1
40,1,1,2,4,1,1,7,1,4,1,1,1,4,1
41,1,1,2,4,1,1,8,1,4,1,1,1,4,1
42,1,1,2,4,1,1,8,1,4,1,1,1,4,1
43,1,1,2,4,1,1,8,1,4,1,1,1,4,1
44,1,1,2,4,1,1,8,1,4,1,1,1,4,1
45,1,1,2,4,1,1,8,1,5,1,1,1,4,1
46,1,1,2,4,1,1,8,1,5,1,1,1,4,1
47,1,1,2,4,1,1,8,1,5,1,1,1,4,1
48,1,1,2,4,1,1,8,1,5,1,1,1,4,1
49,1,1,2,4,1,1,8,1,5,1,1,1,5,1
50,1,1,3,4,1,1,8,1,5,1,1,1,5,1
51,1,1,3,4,1,1,8,1,5,1,1,1,5,1
52,1,1,3,5,1,1,8,1,5,1,1,1,5,1
53,1,1,3,6,1,1,8,1,5,1,1,1,5,1
54,1,1,3,6,1,1,9,1,5,1,1,1,5,1
