,0,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,2,1,1
4,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5,1,1,1,1,1,1,2,1,1,1,1,2,1,1
6,1,1,1,1,1,1,2,1,1,1,1,2,1,1
7,1,1,1,1,1,1,2,1,1,1,2,2,1,1
8,1,1,1,1,1,1,2,1,1,1,2,2,1,2
9,1,1,1,1,1,1,2,1,1,1,2,2,1,3
10,1,1,1,2,1,1,2,1,1,1,2,2,1,3
11,1,1,1,2,1,1,2,1,1,1,2,2,1,3
12,1,1,1,2,1,1,2,1,1,1,2,2,2,3
13,1,1,1,2,1,1,2,1,1,1,2,2,2,3
14,1,1,1,2,1,1,2,1,1,1,2,2,2,3
15,1,1,1,2,1,1,2,1,1,2,2,2,2,3
16,1,1,1,2,1,1,2,1,1,2,2,2,2,3
17,1,1,1,2,1,1,2,1,1,2,2,2,2,3
18,1,1,1,2,1,1,2,1,1,2,2,2,2,3
19,1,1,1,3,1,1,2,1,1,2,2,2,2,3
20,1,1,1,3,1,1,2,1,1,2,2,2,2,3
21,1,1,1,4,1,1,2,1,1,2,2,2,2,3
22,1,1,1,5,1,1,2,1,1,2,2,2,2,3
23,1,1,1,6,1,1,2,1,1,2,2,2,2,3
24,1,1,1,6,1,1,2,1,1,2,2,2,2,3
25,1,1,1,6,1,1,2,1,1,2,2,2,3,3
26,1,1,1,7,1,1,2,1,1,2,2,2,3,3
27,1,1,1,7,1,1,2,1,1,2,2,2,3,3
28,1,1,1,8,1,1,2,1,1,2,2,2,3,3
29,1,1,1,9,1,1,2,1,1,2,2,2,3,3
30,1,1,1,9,1,1,2,1,1,2,2,2,3,3
31,1,1,1,10,1,1,2,1,1,2,2,2,3,3
32,1,1,1,11,1,1,2,1,1,2,2,2,3,3
33,1,1,1,12,1,1,2,1,1,2,2,2,3,3
34,1,1,1,13,1,1,2,1,1,2,2,2,3,3
35,1,1,1,13,1,1,2,1,1,2,2,2,3,3
36,1,1,1,14,1,1,2,1,1,2,2,2,3,3
37,1,1,1,15,1,1,2,1,1,2,2,2,3,3
38,1,1,1,16,1,1,2,1,1,2,2,2,3,3
39,1,1,1,16,1,1,2,1,1,2,2,2,3,3
40,1,1,1,16,1,1,2,1,1,2,2,2,4,3
41,1,1,1,16,1,1,2,1,1,2,2,2,4,3
42,1,1,1,17,1,1,2,1,1,2,2,2,4,3
43,1,1,1,18,1,1,2,1,1,2,2,2,4,3
44,1,1,1,18,1,1,2,1,1,2,2,2,4,3
45,1,1,1,18,1,1,2,1,1,2,2,2,5,3
46,1,1,1,19,1,1,2,1,1,2,2,2,5,3
47,1,1,1,20,1,1,2,1,1,2,2,2,5,3
48,1,1,1,20,1,1,2,1,1,2,2,2,5,3
49,1,1,1,20,1,1,2,1,1,2,2,2,5,3
50,1,1,1,20,1,1,2,1,1,2,2,2,5,3
51,1,1,1,20,1,1,2,1,1,2,2,2,6,3
52,1,1,1,20,1,1,2,1,1,2,2,2,6,3
53,1,1,1,20,1,1,2,1,1,2,2,2,7,3
54,1,1,1,21,1,1,2,1,1,2,2,2,7,3
55,1,1,1,21,1,1,2,1,1,2,2,2,7,3
56,1,1,1,22,1,1,2,1,1,2,2,2,7,3
57,1,1,1,22,1,1,2,1,1,2,2,2,7,3
58,1,1,1,22,1,1,2,1,1,2,2,2,7,3
59,1,1,1,23,1,1,2,1,1,2,2,2,7,3
60,1,1,1,23,1,1,2,1,1,2,2,2,7,3
61,1,1,1,24,1,1,2,1,1,2,2,2,7,3
62,1,1,1,24,1,1,2,1,1,2,2,2,7,3
63,1,1,1,25,1,1,2,1,1,2,2,2,7,3
64,1,1,1,25,1,1,2,1,1,2,2,2,7,3
65,1,1,1,25,1,1,2,1,1,2,2,2,7,3
66,1,1,1,25,1,1,2,1,1,2,2,2,8,3
67,1,1,1,26,1,1,2,1,1,2,2,2,8,3
68,1,1,1,27,1,1,2,1,1,2,2,2,8,3
69,1,1,1,27,1,1,2,1,1,2,2,2,8,3
70,1,1,1,27,1,1,2,1,1,2,2,2,8,3
71,1,1,1,28,1,1,2,1,1,2,2,2,8,3
72,1,1,1,29,1,1,2,1,1,2,2,2,8,3
73,1,1,1,30,1,1,2,1,1,2,2,2,8,3
74,1,1,1,30,1,1,2,1,1,2,2,2,8,3
75,1,1,1,31,1,1,2,1,1,2,2,2,8,3
76,1,1,1,31,1,1,2,1,1,2,2,2,8,3
77,1,1,1,31,1,1,2,1,1,2,2,2,9,3
78,1,1,1,32,1,1,2,1,1,2,2,2,9,3
79,1,1,1,33,1,1,2,1,1,2,2,2,9,3
80,1,1,1,33,1,1,2,1,1,2,2,2,9,3
81,1,1,1,33,1,1,2,1,1,2,2,2,9,3
82,1,1,1,33,1,1,2,1,1,2,2,2,9,3
83,1,1,1,34,1,1,2,1,1,2,2,2,9,3
84,1,1,1,34,1,1,2,1,1,2,2,2,9,3
85,1,1,1,34,1,1,2,1,1,2,2,2,9,3
86,1,1,1,34,1,1,2,1,1,2,2,2,9,3
87,1,1,1,34,1,1,2,1,1,2,2,2,10,3
88,1,1,1,34,1,1,2,1,1,2,2,2,10,3
89,1,1,1,35,1,1,2,1,1,2,2,2,10,3
90,1,1,1,35,1,1,2,1,1,2,2,2,10,3
91,1,1,1,35,1,1,2,1,1,2,3,2,10,3
92,1,1,1,36,1,1,2,1,1,2,3,2,10,3
93,1,1,1,36,1,1,2,1,1,2,3,2,11,3
94,1,1,1,36,1,1,2,1,1,2,3,2,11,3
95,1,1,1,37,1,1,2,1,1,2,3,2,11,3
96,1,1,1,38,1,1,2,1,1,2,3,2,11,3
97,1,1,1,38,1,1,2,1,1,2,3,2,11,3
98,1,1,1,39,1,1,2,1,1,2,3,2,11,3
99,1,1,1,39,1,1,2,1,1,2,3,2,11,3
