,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,2,1,1,1,1,1,1,1,1,1,1
4,1,1,1,2,1,1,1,1,1,1,1,1,1,1
5,1,1,1,2,1,1,1,1,1,1,1,1,2,1
6,1,1,1,2,1,1,1,1,1,1,1,1,2,1
7,1,1,1,2,1,1,2,1,1,1,1,1,2,1
8,1,1,1,2,1,1,1,1,1,1,1,1,2,1
9,1,1,1,2,1,1,1,1,2,1,1,1,2,1
10,1,1,1,2,1,1,1,1,2,1,1,1,2,1
11,1,1,1,2,1,1,1,1,2,1,1,2,2,1
12,1,1,1,2,1,2,1,1,2,1,1,2,2,1
13,1,1,1,2,1,2,1,1,2,1,1,2,2,1
14,1,1,1,2,1,2,1,1,2,1,1,2,3,1
15,1,1,1,2,1,2,1,1,2,1,1,2,3,1
16,1,1,1,2,1,2,1,1,2,1,1,3,3,1
17,1,1,1,2,1,2,1,1,2,1,2,3,3,1
18,1,1,1,2,1,2,1,1,2,1,2,3,3,1
19,1,1,1,3,1,2,1,1,2,1,2,3,3,1
20,1,1,1,3,1,2,1,1,2,1,2,1,3,1
21,1,1,1,3,1,2,1,1,2,1,2,1,3,2
22,1,1,1,3,1,2,1,1,2,1,2,1,3,3
23,1,1,1,3,1,2,1,1,2,1,2,1,3,3
24,1,1,1,1,1,2,1,1,2,1,2,1,3,3
25,1,1,1,1,1,2,1,1,2,1,2,1,3,4
26,1,1,1,1,1,2,1,1,2,1,2,1,3,1
27,1,1,1,1,1,2,1,1,2,1,3,1,3,1
28,1,1,1,1,1,2,1,1,2,1,1,1,3,1
29,1,1,1,1,1,2,1,1,3,1,1,1,3,1
30,1,1,1,1,1,2,1,1,3,2,1,1,3,1
31,1,1,1,1,1,2,1,1,3,2,1,1,3,1
32,1,1,1,1,1,2,1,1,3,2,1,1,4,1
33,1,1,1,1,1,2,1,1,3,2,1,1,4,1
34,1,1,1,1,1,2,1,1,3,2,1,1,5,1
35,1,1,1,1,1,2,1,1,3,2,1,1,5,1
36,1,1,1,1,1,2,1,1,3,2,1,1,5,1
37,1,1,1,1,1,2,1,1,3,2,1,1,1,1
38,1,1,1,1,1,2,1,1,4,2,1,1,1,1
39,1,1,1,1,1,2,1,1,1,2,1,1,1,1
40,2,1,1,1,1,2,1,1,1,2,1,1,1,1
41,3,1,1,1,1,2,1,1,1,2,1,1,1,1
42,3,1,1,1,1,2,1,1,1,3,1,1,1,1
43,3,1,1,1,1,2,1,1,1,3,1,1,1,1
44,1,1,1,1,1,2,1,1,1,3,1,1,1,1
45,1,1,1,1,1,2,1,1,1,1,1,1,1,1
46,1,1,1,1,1,3,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,2
49,1,1,1,1,1,2,1,1,1,1,1,1,1,2
50,1,1,1,1,1,2,1,1,1,1,1,1,1,2
51,1,1,1,1,1,2,1,1,1,1,1,1,1,1
52,1,1,1,1,1,2,1,1,1,2,1,1,1,1
53,1,1,1,1,1,2,1,1,1,2,1,1,1,1
54,1,1,1,1,1,2,1,1,1,1,1,1,1,1
55,1,1,1,1,1,2,2,1,1,1,1,1,1,1
56,1,1,1,1,1,2,2,1,1,1,1,1,1,1
57,1,1,1,1,1,2,2,1,1,1,2,1,1,1
58,1,1,1,1,1,2,2,1,1,1,2,1,1,1
59,1,1,1,1,1,2,2,1,1,1,3,1,1,1
60,1,1,1,1,1,2,2,1,1,1,3,1,1,1
61,1,1,1,1,1,2,2,1,1,1,1,1,1,1
62,1,1,1,1,1,2,2,1,1,1,1,1,1,1
63,1,1,1,1,1,2,1,1,1,1,1,1,1,1
64,2,1,1,1,1,2,1,1,1,1,1,1,1,1
65,2,1,1,1,1,2,1,1,1,1,2,1,1,1
66,2,1,1,1,1,3,1,1,1,1,2,1,1,1
67,2,1,1,1,1,3,1,1,1,1,2,1,1,1
68,2,2,1,1,1,3,1,1,1,1,2,1,1,1
69,2,2,1,1,1,1,1,1,1,1,2,1,1,1
70,2,2,1,2,1,1,1,1,1,1,2,1,1,1
71,1,2,1,2,1,1,1,1,1,1,2,1,1,1
72,1,2,1,2,1,1,1,1,1,2,2,1,1,1
73,1,2,1,3,1,1,1,1,1,2,2,1,1,1
74,1,1,1,3,1,1,1,1,1,2,2,1,1,1
75,1,1,1,4,1,1,1,1,1,2,2,1,1,1
76,1,1,1,4,1,1,1,1,1,2,2,1,1,1
77,1,1,1,4,1,1,1,1,1,2,1,1,1,1
78,1,1,1,4,1,1,1,1,1,2,1,1,2,1
79,1,1,1,4,1,1,1,1,1,2,1,1,2,1
80,1,1,1,4,1,1,1,1,1,2,1,1,3,1
81,1,1,1,1,1,1,1,1,1,2,1,1,3,1
82,1,1,1,1,1,1,1,1,1,2,1,1,1,1
83,1,1,1,1,1,1,1,2,1,2,1,1,1,1
84,1,1,1,1,1,1,1,2,1,3,1,1,1,1
85,1,1,1,1,1,1,1,2,1,4,1,1,1,1
86,1,1,1,1,1,1,1,2,1,1,1,1,1,1
87,1,1,1,1,1,1,1,3,1,1,1,1,1,1
88,1,1,1,1,1,1,1,4,1,1,1,1,1,1
89,1,2,1,1,1,1,1,4,1,1,1,1,1,1
90,1,2,1,1,1,1,1,4,1,1,1,1,1,1
91,1,2,1,2,1,1,1,4,1,1,1,1,1,1
92,1,2,1,2,1,1,1,5,1,1,1,1,1,1
93,1,2,1,2,1,1,1,5,1,1,1,1,1,1
94,1,2,1,2,1,1,1,5,1,1,1,1,1,1
95,1,3,1,2,1,1,1,5,1,1,1,1,1,1
96,1,3,1,1,1,1,1,5,1,1,1,1,1,1
97,1,3,1,1,1,1,1,1,1,1,1,1,1,1
98,1,3,1,1,1,2,1,1,1,1,1,1,1,1
99,1,3,1,1,1,2,1,1,1,1,1,1,1,1
100,1,4,1,1,1,2,1,1,1,1,1,1,1,1
