,0,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,1,1,1,1,1,1,1,1,1,1,2,1
6,2,2,1,1,1,1,1,1,1,1,1,1,2,1
7,2,2,1,1,1,2,1,1,1,1,1,1,2,1
8,2,2,1,1,1,2,1,1,1,1,1,1,2,1
9,2,2,1,1,1,2,1,1,1,1,1,1,2,1
10,2,2,1,1,1,2,1,2,1,1,1,1,2,1
11,2,2,1,1,1,2,1,3,1,1,1,1,2,1
12,2,2,1,1,1,2,1,3,1,1,1,1,2,1
13,2,2,1,1,1,3,1,3,1,1,1,1,2,1
14,2,2,1,1,1,3,1,4,1,1,1,1,2,1
15,2,2,1,1,1,3,1,5,1,1,1,1,2,1
16,2,2,1,1,1,3,1,5,1,1,1,1,2,1
17,2,2,1,1,1,3,1,5,1,1,1,1,2,1
18,2,2,1,1,1,3,1,5,1,1,1,1,2,2
19,2,2,1,1,1,3,1,5,1,2,1,1,2,2
20,2,2,1,1,1,4,1,5,1,2,1,1,2,2
21,2,2,1,1,1,4,1,5,1,2,1,1,2,2
22,2,2,1,1,1,5,1,5,1,2,1,1,2,2
23,2,2,1,1,1,5,1,5,1,2,1,1,2,2
24,2,2,1,1,1,5,1,5,2,2,1,1,2,2
25,2,2,1,1,2,5,1,5,2,2,1,1,2,2
26,2,2,1,1,2,5,1,5,2,2,1,1,2,2
27,2,2,1,1,2,5,1,5,2,2,1,1,2,2
28,2,2,1,1,2,6,1,5,2,2,1,1,2,2
29,2,2,1,1,2,6,1,6,2,2,1,1,2,2
30,2,2,1,1,2,6,1,6,2,2,1,1,2,2
31,2,2,1,1,2,6,1,6,2,2,1,1,2,2
32,2,2,1,1,2,6,1,6,2,2,1,1,2,2
33,2,2,1,1,2,7,1,6,2,2,1,1,2,2
34,2,2,1,1,2,7,1,7,2,2,1,1,2,2
35,2,2,1,1,2,7,1,7,2,2,1,1,2,2
36,2,2,1,1,2,7,1,8,2,2,1,1,2,2
37,2,2,1,1,2,7,1,8,2,2,1,1,2,2
38,2,2,1,1,2,7,1,8,2,2,1,1,2,2
39,2,2,1,1,3,7,1,8,2,2,1,1,2,2
40,2,2,1,1,3,7,1,8,2,2,1,1,2,2
41,2,2,1,1,3,7,1,8,2,2,1,1,2,2
42,2,2,1,1,4,7,1,8,2,2,1,1,2,2
43,2,2,1,1,4,7,1,8,2,2,1,1,2,2
44,2,2,1,1,5,7,1,8,2,2,1,1,2,2
45,2,2,1,1,5,7,1,8,2,2,1,1,2,2
46,2,2,1,1,5,7,1,9,2,2,1,1,2,2
47,2,2,1,1,5,7,1,10,2,2,1,1,2,2
48,2,2,1,1,5,7,1,10,2,2,1,1,2,2
49,2,2,1,1,5,7,1,10,2,3,1,1,2,2
50,2,2,1,1,5,7,1,10,2,3,1,1,2,2
51,2,2,1,1,6,7,1,10,2,3,1,1,2,2
52,2,2,1,1,6,7,1,10,2,3,1,1,2,2
53,2,2,1,1,6,7,1,10,2,3,1,1,2,2
54,2,2,1,1,6,7,1,10,2,3,1,1,2,2
55,2,2,1,1,6,7,1,10,2,3,1,1,2,2
56,2,2,1,1,6,7,1,11,2,3,1,1,2,2
57,2,2,1,1,6,7,1,11,2,3,1,1,2,2
58,2,2,1,1,7,7,1,11,2,3,1,1,2,2
59,2,2,1,1,7,7,1,11,2,3,1,1,2,2
60,2,2,1,1,8,7,1,11,2,3,1,1,2,2
61,2,2,1,1,9,7,1,11,2,3,1,1,2,2
62,2,2,1,1,9,7,1,11,2,3,1,1,2,2
63,2,2,1,1,9,7,1,11,2,3,1,1,2,2
64,2,2,1,1,10,7,1,11,2,3,1,1,2,2
65,2,2,1,1,10,7,1,11,2,3,1,1,2,2
66,2,2,1,1,10,7,1,12,2,3,1,1,2,2
67,2,2,1,1,10,7,1,12,2,3,1,1,2,2
68,2,2,1,1,11,7,1,12,2,3,1,1,2,2
69,2,2,1,1,11,7,1,12,2,3,1,1,2,2
70,2,2,1,1,11,7,1,12,2,3,1,1,2,2
71,2,2,1,1,11,7,1,12,2,3,1,1,2,2
72,2,2,1,1,12,7,1,12,2,3,1,1,2,2
73,2,2,1,1,13,7,1,12,2,3,1,1,2,2
74,2,2,1,1,13,7,1,12,2,3,1,1,2,2
75,2,2,1,1,13,7,1,12,2,3,1,1,2,2
76,2,2,1,1,14,7,1,12,2,3,1,1,2,2
77,2,2,1,1,14,7,1,12,2,3,1,1,2,2
78,2,2,1,1,14,7,1,12,2,3,1,1,2,2
79,2,2,1,1,14,7,1,13,2,3,1,1,2,2
80,2,2,1,1,14,7,1,13,2,3,1,1,2,2
81,2,2,1,1,14,7,1,13,2,3,1,1,2,2
82,2,2,1,1,14,8,1,13,2,3,1,1,2,2
83,2,2,1,1,15,8,1,13,2,3,1,1,2,2
84,2,2,1,1,15,8,1,13,2,3,1,1,2,2
85,2,2,1,1,15,8,1,13,2,3,1,1,2,2
86,2,2,1,1,16,8,1,13,2,3,1,1,2,2
87,2,2,1,1,16,8,1,13,2,3,1,1,2,2
88,2,2,1,1,16,8,1,14,2,3,1,1,2,2
89,2,2,1,1,16,8,1,14,2,3,1,1,2,2
90,2,2,1,1,16,8,1,14,2,3,1,1,2,2
91,2,2,1,1,16,8,1,15,2,3,1,1,2,2
92,2,2,1,1,16,8,1,15,2,3,1,1,2,2
93,2,2,1,1,16,8,1,16,2,3,1,1,2,2
94,2,2,1,1,16,8,1,16,2,3,1,1,2,2
95,2,2,1,1,16,8,1,16,2,3,1,1,2,2
96,2,2,1,1,17,8,1,16,2,3,1,1,2,2
97,2,2,1,1,17,8,1,16,2,3,1,1,2,2
98,2,2,1,1,18,8,1,16,2,3,1,1,2,2
99,2,2,1,1,18,8,1,16,2,3,1,1,2,2
